Suburb/Town Name,House Price,Offence Count
MOUNT MARTHA,1.443,0.3021
MOUNT PLEASANT,0.846,0.4884
MOUNT WAVERLEY,0.6842,1.0096
MULGRAVE,0.6587,0.0752
MURCHISON,1.1935,-0.3902
MURRUMBEENA,0.6707,0.3416
MURTOA,1.4318,-0.4554
MYRTLEFORD,1.4082,0.5695
NAGAMBIE,0.746,0.6495
NARRE WARREN,0.8834,0.0507
NARRE WARREN NORTH,0.9027,0.2763
NARRE WARREN SOUTH,0.8636,-0.0425
NATHALIA,0.9423,0.2105
NEERIM SOUTH,0.9762,0.4364
NERRINA,0.4197,-0.1053
NEW GISBORNE,0.6667,0.5088
NEWBOROUGH,0.986,0.1237
NEWCOMB,0.9435,0.1519
NEWINGTON,0.9487,-0.2336
NEWLANDS ARM,1.2351,-0.2667
NEWPORT,0.723,-0.282
NEWSTEAD,1.0168,0.4118
NHILL,0.64,1.0
NICHOLS POINT,0.9408,0.525
NIDDRIE,0.5906,0.0524
NOBLE PARK,0.6636,0.177
NOBLE PARK NORTH,0.756,0.2255
NORLANE,1.1163,0.3518
NORTH BENDIGO,0.8393,1.2431
NORTH GEELONG,1.1478,0.3636
NORTH MELBOURNE,0.4663,0.09
NORTH WONTHAGGI,1.3277,0.5152
NORTHCOTE,0.723,-0.2876
NOTTING HILL,0.6758,0.5986
NUMURKAH,0.6744,1.5612
NUNAWADING,0.6486,0.1484
NYAH WEST,1.307,0.7391
OAK PARK,0.7013,-0.0796
OAKLEIGH,0.6675,0.5174
OAKLEIGH EAST,0.4024,0.056
OAKLEIGH SOUTH,0.6143,0.2672
OCEAN GROVE,0.9078,0.2401
OFFICER,1.1401,1.9855
OLINDA,0.7981,-0.2727
OMEO,0.7842,1.0667
ORBOST,1.2667,0.2045
ORMOND,0.5116,0.1571
OUYEN,1.3806,0.1194
PAKENHAM,0.8286,0.1848
PARADISE BEACH,1.0927,1.2857
PARK ORCHARDS,0.5775,0.0
PARKDALE,0.5721,0.2609
PARKVILLE,0.6243,0.2253
PASCOE VALE,0.5649,-0.0617
PASCOE VALE SOUTH,0.6262,-0.1318
PATTERSON LAKES,0.8542,0.7576
PAYNESVILLE,0.6885,1.375
PEARCEDALE,0.9101,0.6783
PENSHURST,1.1623,0.8421
PETERBOROUGH,1.2439,0.25
PIONEER BAY,1.5182,-0.75
PLENTY,1.3467,0.3204
POINT COOK,0.7315,0.519
POINT LONSDALE,0.9102,-0.339
POREPUNKAH,2.2982,-0.679
PORT ALBERT,1.9605,-0.0312
PORT FAIRY,1.2353,-0.0503
PORT MELBOURNE,0.9019,0.3456
PORTARLINGTON,1.2316,-0.115
PORTLAND,1.0833,-0.0276
PORTLAND NORTH,2.0242,-0.5641
PORTSEA,1.3774,-0.6622
PRAHRAN,0.4894,0.0072
PRESTON,0.6667,-0.0934
PRINCES HILL,0.3388,0.6163
PYRAMID HILL,0.7308,0.6316
QUAMBATOOK,0.5823,-0.5263
QUARRY HILL,0.6789,0.3333
QUEENSCLIFF,1.4281,-0.2024
RAINBOW,1.2727,0.48
RAYMOND ISLAND,0.9286,1.1
RED CLIFFS,1.2112,0.3199
RED HILL,1.2333,-0.3333
REDAN,0.9796,0.3201
RESEARCH,0.5036,0.0
RESERVOIR,0.6081,0.0605
RHYLL,0.5612,-0.2778
RICHMOND,0.4334,-0.07
RIDDELLS CREEK,1.0719,1.5059
RINGWOOD,0.5144,0.1703
RINGWOOD EAST,0.634,-0.1131
RINGWOOD NORTH,0.8391,0.197
RIPPLESIDE,0.9811,0.3011
RIPPONLEA,0.4575,0.3333
ROBINVALE,1.2188,-0.1089
ROCHESTER,0.2209,0.0829
ROCKBANK,1.2304,2.8026
ROMSEY,0.9066,-0.4333
ROSANNA,0.6609,-0.2555
ROSEBUD,1.0479,-0.1382
ROSEDALE,1.2093,1.96
ROWVILLE,0.7652,0.0708
ROXBURGH PARK,0.6429,-0.0251
RUSHWORTH,1.3228,-0.2764
RUTHERGLEN,1.4564,0.7416
RYE,1.388,-0.0162
SAFETY BEACH,1.363,0.5297
SAILORS GULLY,0.7867,3.3333
SALE,0.6,0.0731
SAN REMO,1.3403,0.3625
SANDHURST,0.9581,-0.3169
SANDRINGHAM,0.6092,0.4979
SANDY POINT,1.1447,0.0
SASSAFRAS,0.7248,0.1818
SCORESBY,0.6763,0.1108
SEA LAKE,1.5,1.4348
SEABROOK,0.8422,0.01
SEAFORD,0.8444,0.1863
SEAHOLME,1.2761,-0.1684
SEASPRAY,1.8354,-0.75
SEBASTOPOL,0.9321,0.4006
SEDDON,0.5068,0.1855
SELBY,0.994,-0.18
SEVILLE,1.1887,0.3671
SEVILLE EAST,1.1571,1.5714
SEYMOUR,1.1948,0.3797
SHEPPARTON,0.8313,0.2014
SHEPPARTON NORTH,0.6267,2.0
SHOREHAM,2.3871,0.0
SILVERLEAVES,1.4701,-0.5
SKIPTON,1.8596,0.7857
SKYE,0.8402,0.0
SMITHS BEACH,1.4551,-0.8148
SOLDIERS HILL,0.6716,0.3257
SOMERS,1.053,0.127
SOMERVILLE,0.9367,-0.1556
SORRENTO,1.6667,-0.0215
SOUTH GEELONG,0.8766,-0.0299
SOUTH KINGSVILLE,0.8629,-0.0139
SOUTH MELBOURNE,0.3583,0.263
SOUTH MORANG,0.7262,-0.1754
SOUTH YARRA,0.6483,0.3588
SPOTSWOOD,0.7656,-0.2238
SPRING GULLY,1.0,1.0326
SPRINGVALE,0.6415,0.7372
SPRINGVALE SOUTH,0.6842,-0.0482
ST ALBANS,0.7149,0.0625
ST ALBANS PARK,0.7773,-0.4484
ST ANDREWS BEACH,2.1768,-0.5455
ST ARNAUD,0.9276,0.6975
ST HELENA,0.886,-0.3433
ST KILDA,0.2086,-0.0735
ST KILDA EAST,0.5643,0.1936
ST KILDA WEST,0.2774,-0.2602
STANHOPE,1.6908,1.7429
STAWELL,0.8493,-0.0757
STRATFORD,0.8356,0.1509
STRATHDALE,0.6776,1.3918
STRATHFIELDSAYE,0.7987,1.4556
STRATHMERTON,1.1159,1.1081
STRATHMORE,0.6376,-0.0691
STRATHMORE HEIGHTS,0.65,-0.1091
STRATHTULLOH,0.4602,27.4545
SUNBURY,0.8333,-0.022
SUNDERLAND BAY,1.0195,-0.4286
SUNSET STRIP,1.2258,1.2308
SUNSHINE,0.6494,-0.1018
SUNSHINE NORTH,0.6957,0.2737
SUNSHINE WEST,0.7722,0.0091
SURF BEACH,1.2361,-0.6364
SURREY HILLS,0.6483,0.0809
SWAN HILL,0.8913,-0.0329
SYDENHAM,0.7867,-0.1376
TALLANGATTA,1.35,0.3429
TANGAMBALANGA,1.2755,1.3333
TARNEIT,0.6544,0.9704
TATURA,1.0,0.1651
TAWONGA SOUTH,1.3532,1.75
TAYLORS HILL,0.7775,-0.4665
TAYLORS LAKES,0.8137,-0.0708
TECOMA,0.7531,-0.2368
TEMPLESTOWE,0.7709,0.3462
TEMPLESTOWE LOWER,0.6988,0.0482
TERANG,0.9615,-0.3807
THE BASIN,0.8339,0.1014
THE PATCH,0.7061,-0.6154
THOMASTOWN,0.6452,-0.1088
THORNBURY,0.6433,-0.1006
TIMBOON,1.269,-0.037
TONGALA,1.2654,0.2
TOONGABBIE,1.1759,0.64
TOORA,1.9032,1.225
TOORADIN,0.8333,0.2835
TOORAK,0.5703,-0.0172
TOOTGAROOK,1.1988,-0.5327
TORQUAY,1.1638,-0.1261
TRAFALGAR,0.8006,-0.5533
TRARALGON,0.8182,-0.132
TRARALGON EAST,0.7841,1.6944
TRENTHAM,1.7353,-0.0345
TRUGANINA,0.659,1.3946
TULLAMARINE,0.7476,0.3542
TYABB,0.9945,-0.311
UPPER FERNTREE GULLY,0.704,-0.1447
UPWEY,0.8487,-0.1583
VENTNOR,1.1192,-0.2
VENUS BAY,1.5886,0.875
VERMONT,0.7034,0.2012
VERMONT SOUTH,0.881,0.5872
VIEWBANK,0.6483,-0.1207
VIOLET TOWN,1.5038,0.0645
WAHGUNYAH,0.7564,1.0345
WALLAN,0.7416,0.2363
WANDANA HEIGHTS,0.744,1.0984
WANDIN NORTH,0.7588,0.2105
WANDONG,1.2967,0.1884
WANGARATTA,1.0588,0.0088
WANTIRNA,0.7228,0.0628
WANTIRNA SOUTH,0.9542,0.1173
WARBURTON,1.2063,-0.1148
WARRACKNABEAL,1.1818,0.5159
WARRAGUL,1.0188,0.6443
WARRANDYTE,0.6605,-0.281
WARRANWOOD,0.8008,0.2031
WARRNAMBOOL,0.8731,0.0624
WATERWAYS,1.0,1.8718
WATSONIA,0.5775,-0.3747
WATSONIA NORTH,0.6245,0.0
WATTLE GLEN,0.7782,0.2632
WAURN PONDS,0.7585,0.1741
WEDDERBURN,1.1818,0.66
WEIR VIEWS,0.4433,6.2807
WENDOUREE,0.9028,0.1101
WERRIBEE,0.9365,0.3166
WERRIBEE SOUTH,0.5897,0.0427
WESBURN,1.227,0.2105
WEST FOOTSCRAY,0.4353,0.4254
WEST MELBOURNE,0.3264,0.9918
WEST WODONGA,0.8412,0.5263
WESTMEADOWS,0.7363,-0.0197
WHEELERS HILL,0.8745,0.7624
WHITE HILLS,0.6176,0.5915
WHITTINGTON,0.9084,0.1584
WHITTLESEA,1.0267,0.0351
WILLIAMS LANDING,0.7767,0.6
WILLIAMSTOWN,0.6289,0.0521
WILLIAMSTOWN NORTH,0.5868,0.061
WILLOW GROVE,2.4783,1.6667
WIMBLEDON HEIGHTS,1.0,-0.0833
